index,state,year,population
164,GA,2011,327.68492340862065
165,GA,2012,331.32695216733606
166,GA,2013,335.6113574322327
167,GA,2014,339.9523238224401
168,GA,2015,345.2068228052788
169,GA,2016,351.55723053918246
170,ID,2000,94.23956051934223
171,ID,2001,99.55232748085137
172,ID,2002,101.36415667388647
173,ID,2003,102.95192575293733
174,ID,2004,104.33785075565989
175,ID,2005,106.11003956777948
176,ID,2006,108.0057839139431
177,ID,2007,110.78751981414034
178,ID,2008,113.13708360054693
179,ID,2009,115.01086601406048
180,ID,2010,116.41452996624034
181,ID,2011,117.52004404486769
182,ID,2012,118.62625993732077
183,ID,2013,119.83567876287162
184,ID,2014,120.70704112871023
185,ID,2015,121.86396912019167
186,ID,2016,123.22099875367545
187,IL,2000,21.35299627154668
188,IL,2001,21.85772438264378
189,IL,2002,22.08159368864713
190,IL,2003,22.327725643473407
191,IL,2004,22.535600425079704
192,IL,2005,22.93933608314271
193,IL,2006,23.28444316360165
194,IL,2007,23.590680667879464
195,IL,2008,23.69774311496965
196,IL,2009,23.99562312001297
197,IL,2010,24.256867018498173
198,IL,2011,24.568237900538556
199,IL,2012,24.84846629081936
200,IL,2013,25.130117617392244
201,IL,2014,25.375493074442982
202,IL,2015,25.492804265206505
203,IL,2016,25.63084709739008
204,IN,2000,34.93831295707028
205,IN,2001,36.270585608217495
206,IN,2002,36.84368894099258
207,IN,2003,37.41338692569642
208,IN,2004,38.05560207670407
209,IN,2005,38.84893652654497
210,IN,2006,39.86604700496846
211,IN,2007,40.99450120024563
212,IN,2008,42.011527940601795
213,IN,2009,42.82699715290571
214,IN,2010,43.38857254507899
215,IN,2011,43.84578239267571
216,IN,2012,44.22129179925194
217,IN,2013,44.5461396750963
218,IN,2014,44.99673421537431
219,IN,2015,45.560430971919835
220,IN,2016,46.125579188299
221,IA,2000,217.1324990600999
222,IA,2001,222.60703224304922
223,IA,2002,223.578871045706
224,IA,2003,224.24326404926867
225,IA,2004,224.78840610845552
226,IA,2005,225.3929319512326
227,IA,2006,225.7533165046458
228,IA,2007,226.36294466226255
229,IA,2008,227.29229998030686
230,IA,2009,228.20842508548614
231,IA,2010,229.09891329645345
232,IA,2011,229.8824677300965
233,IA,2012,230.3701058058972
234,IA,2013,230.64305279553145
235,IA,2014,230.87129634602647
236,IA,2015,230.6799863938271
237,IA,2016,230.22333816710528
238,KS,2000,72.68803434484278
239,KS,2001,74.51003559241184
240,KS,2002,74.94905759610563
241,KS,2003,75.29405936961068
242,KS,2004,75.79150919164863
243,KS,2005,76.23634095328954
244,KS,2006,76.794187795839
