index,state,year,no2
195,ID,2007,10.922240828920446
196,ID,2008,16.214756229146072
197,ID,2009,14.348550326536346
198,ID,2010,11.82812664481568
199,ID,2011,9.20212902262316
200,ID,2012,12.046119413007263
201,ID,2013,11.537581349506588
202,ID,2014,12.878654406592865
203,ID,2015,13.909174125326333
204,ID,2016,9.551553154448113
205,IL,2000,25.141255749925012
206,IL,2001,26.050094439282223
207,IL,2002,23.44222969251349
208,IL,2003,26.279504783655295
209,IL,2004,20.508918320051762
210,IL,2005,22.547018407951427
211,IL,2006,21.08356787794313
212,IL,2007,18.672553895897646
213,IL,2008,19.890798195022317
214,IL,2009,17.610709165586155
215,IL,2010,20.074441339231832
216,IL,2011,17.584334241294403
217,IL,2012,20.086099716342865
218,IL,2013,18.408264676091
219,IL,2014,19.208891103718017
220,IL,2015,17.018783395152013
221,IL,2016,15.304243865859776
222,IN,2000,23.460582093672713
223,IN,2001,23.146323314518884
224,IN,2002,21.81822666270195
225,IN,2003,22.885342743085552
226,IN,2004,16.58704659789054
227,IN,2005,19.62558088612471
228,IN,2006,16.141687004349286
229,IN,2007,14.101572316725065
230,IN,2008,14.912243849676816
231,IN,2009,14.534625210225547
232,IN,2010,17.579520139285197
233,IN,2011,15.2114437068888
234,IN,2012,17.352509101217198
235,IN,2013,15.398795243895426
236,IN,2014,15.94108547930719
237,IN,2015,15.277166984942149
238,IN,2016,13.887823781455817
239,KS,2000,15.423904803304755
240,KS,2001,15.119546658880232
241,KS,2002,15.779712249172034
242,KS,2003,17.225093541884586
243,KS,2004,16.611043741465398
244,KS,2005,18.080252794765094
245,KS,2006,16.72284581050102
246,KS,2007,13.418458136553083
247,KS,2008,12.083575696837197
248,KS,2009,12.805793001248004
249,KS,2010,13.65207309359913
250,KS,2011,12.782660511187554
251,KS,2012,14.245678570665346
252,KS,2013,13.929812530252256
253,KS,2014,13.549778593435132
254,KS,2015,11.807877095348726
255,KS,2016,10.223520204758605
256,KY,2000,17.55114874420673
257,KY,2001,18.092013053805523
258,KY,2002,18.34245006722594
259,KY,2003,16.868838052748224
260,KY,2004,18.043257857969753
261,KY,2005,15.788522355405863
262,KY,2006,13.636378912533916
263,KY,2007,12.718165801496133
264,KY,2008,13.154993098504445
265,KY,2009,10.170721961007496
266,KY,2010,10.585053099500012
267,KY,2011,11.485807048276078
268,KY,2012,12.874764573716044
269,KY,2013,10.139458802830834
270,KY,2014,11.774989647119545
271,KY,2015,9.693496429669953
272,KY,2016,8.28400858052043
273,LA,2000,19.94819551836952
274,LA,2001,19.585957379556167
275,LA,2002,16.025944823559964
276,LA,2003,16.54095408467037
277,LA,2004,16.522560435419628
278,LA,2005,16.42796727880015
279,LA,2006,14.785097685168935
280,LA,2007,12.841324432427514
281,LA,2008,14.046453991859165
282,LA,2009,12.483873280997305
283,LA,2010,13.624326826308508
284,LA,2011,14.691917642611665
285,LA,2012,12.572538375442955
286,LA,2013,11.587426188573179
287,LA,2014,12.036393207329944
288,LA,2015,11.376494809877292
289,LA,2016,11.630822796775679
290,MA,2000,24.43759364130492
291,MA,2001,24.754334025500334
292,MA,2002,24.231809495548536
293,MA,2003,24.46442594033974
294,MA,2004,21.32244332218999
295,MA,2005,20.729607256278832
296,MA,2006,19.234737135626723
297,MA,2007,18.77211269373127
298,MA,2008,19.155517111340842
299,MA,2009,17.422557429275553
300,MA,2010,16.68585507219027
301,MA,2011,20.44494748753632
302,MA,2012,17.55122414734523
303,MA,2013,16.8999691720928
304,MA,2014,17.068836996969814
305,MA,2015,18.635098722728426
306,MA,2016,15.362939353040696
307,MD,2000,27.774418621309085
308,MD,2001,27.13098845278078
309,MD,2002,27.29563865244371
310,MD,2003,28.366562584441017
311,MD,2004,25.089376625357087
312,MD,2005,25.1614338733869
313,MD,2006,21.66559070986032
314,MD,2007,20.481444561710347
315,MD,2008,20.49225212932096
316,MD,2009,19.169239159839403
317,MD,2010,20.305524010614334
318,MD,2011,21.617860074568032
319,MD,2012,19.628682903574834
320,MD,2013,16.52006262683047
321,MD,2014,16.601737126086693
322,MD,2015,18.66319557022039
323,MD,2016,17.5370411477865
324,ME,2000,11.151192279472887
325,ME,2001,10.42387177792077
326,ME,2002,13.234058787946307
327,ME,2003,10.686945345831969
328,ME,2004,8.853742039107772
329,ME,2005,6.401125876839718
330,ME,2006,6.973014500970259
331,ME,2007,6.323339103868166
332,ME,2008,8.792072880297686
333,ME,2009,8.076638661272808
334,ME,2010,8.205267327281456
335,ME,2011,10.352424608805258
336,ME,2012,11.40364536519297
337,ME,2013,7.943894719028915
338,ME,2014,8.678188810078797
339,ME,2015,15.689351831845249
