STATE,YEAR,ozone,no2,pm25
CT,2007,38.40414830817246,20.63422177573468,10.238629105303904
CT,2008,37.421836599784726,19.21078230263316,9.008689855662787
CT,2009,36.57237829883207,17.63843172975752,9.008689855662787
CT,2010,39.47088435614529,17.62249603207053,7.531813808112029
CT,2011,38.37526932471902,21.236531307289205,8.46938361416649
CT,2012,38.88694481925246,18.23590250549121,7.1921032866531975
CT,2013,40.23763146866282,18.34205445526901,7.709809234044413
CT,2014,39.524795136973175,18.21115691156478,7.089808681961736
CT,2015,40.15109333203973,21.541247648271515,7.375023709614805
CT,2016,39.60903348536145,18.73767842289408,6.044902876967888
DC,2000,37.1244930308476,33.610478766719105,15.698372146215045
DC,2001,41.02625384290978,41.69383866420131,16.540884845337768
DC,2002,41.21843876467238,35.50263041054276,15.459171881020072
