STATE,YEAR,ozone
MA,2016,38.50021608855093
MD,2000,37.910892853483816
MD,2001,40.677320669636444
MD,2002,41.33681107440365
MD,2003,37.706641035332986
MD,2004,38.28831297741222
MD,2005,38.97108310677251
MD,2006,39.65564556608842
MD,2007,40.54641189913609
MD,2008,39.06437036443354
MD,2009,37.846935510020764
MD,2010,42.73708407368419
MD,2011,40.85250109905947
MD,2012,40.67914156200977
MD,2013,40.401694617612215
MD,2014,40.58009937222605
MD,2015,40.86986790244724
MD,2016,40.45111865173669
ME,2000,34.322541931692086
ME,2001,36.96911175028191
ME,2002,36.6206039644546
ME,2003,36.48482030921679
ME,2004,34.55880674095867
ME,2005,34.786771514333736
ME,2006,34.102547523498764
ME,2007,35.44183793543165
ME,2008,35.16118837329403
ME,2009,34.08748817595132
ME,2010,35.57994942959802
ME,2011,35.938667012627
ME,2012,36.010255951979765
ME,2013,36.89530840217219
ME,2014,35.796159074583244
ME,2015,37.06845346802357
ME,2016,35.384722067401135
MI,2000,36.089135168277224
MI,2001,37.85523894402409
MI,2002,38.22339596745622
MI,2003,38.08491692005749
MI,2004,36.065708701736845
MI,2005,38.625175205832875
MI,2006,36.31878696059866
MI,2007,38.37480392873196
MI,2008,37.55487424342983
MI,2009,35.69977800815141
MI,2010,38.28071326965255
MI,2011,37.66805227732516
MI,2012,38.65630370121452
MI,2013,37.84141350416917
MI,2014,37.322369214800375
MI,2015,38.61964772083327
MI,2016,38.54336333941079
MN,2000,36.2655891359632
MN,2001,37.04286227550061
MN,2002,36.7804194081781
MN,2003,37.83262276067239
MN,2004,34.560607982207586
MN,2005,36.854525432460264
MN,2006,36.82966456714436
MN,2007,36.59785891320298
MN,2008,36.186283388762696
MN,2009,35.57122644944482
MN,2010,37.39553324159507
MN,2011,37.001458045304304
MN,2012,37.16281458498762
MN,2013,36.93864511129724
MN,2014,35.47729797527113
MN,2015,36.85920760492963
MN,2016,35.6107703728909
MO,2000,40.35109404167181
MO,2001,40.02581332372096
MO,2002,39.54200403898604
MO,2003,39.596425673969485
MO,2004,37.62916906136574
MO,2005,40.671542745567535
MO,2006,40.83003421991385
MO,2007,40.5561224717636
MO,2008,38.136203829244884
MO,2009,37.51726205215078
MO,2010,39.776160861593674
MO,2011,40.61791128715465
MO,2012,41.55735649294764
MO,2013,38.819834473924196
MO,2014,38.07955235285939
MO,2015,37.962651993311916
MO,2016,38.108056398250234
MS,2000,43.26353937239536
MS,2001,41.166131483649906
MS,2002,39.28825248148089
MS,2003,40.11840586381286
MS,2004,38.550274296859484
MS,2005,41.64345433025503
MS,2006,42.7263931101436
MS,2007,40.45581051876709
MS,2008,38.838121086538926
MS,2009,37.428179013384685
MS,2010,40.390170340585115
MS,2011,41.15345971712806
MS,2012,40.72694585652518
MS,2013,37.8397595420259
MS,2014,37.13485749280897
MS,2015,37.34229557965869
MS,2016,38.296599939415046
MT,2000,40.78236487574161
MT,2001,40.890003513677286
MT,2002,41.123524463625245
MT,2003,42.18472939610664
MT,2004,40.381163341102166
MT,2005,40.74048695945072
MT,2006,42.20400243249737
MT,2007,41.42382724407556
MT,2008,42.00513727498907
MT,2009,41.037126600805735
MT,2010,40.901442822605645
MT,2011,42.05174831737371
MT,2012,41.30759888662032
MT,2013,40.569025856855475
MT,2014,40.04946067602344
MT,2015,41.314633789564176
MT,2016,40.238904049371804
NC,2000,43.29276061272006
NC,2001,43.575742177197874
NC,2002,42.854822166913976
NC,2003,40.28147188627186
NC,2004,39.59593705071126
NC,2005,41.36313722708336
NC,2006,41.93725040830395
NC,2007,43.55325907218305
NC,2008,41.48275806012164
NC,2009,38.371617836110424
NC,2010,42.34195214144127
NC,2011,41.77086355939893
NC,2012,40.04345792258258
NC,2013,37.84209606989013
NC,2014,39.42429898855995
NC,2015,39.84731936898184
NC,2016,39.83822521430037
ND,2000,35.87452033369944
ND,2001,37.54491894160321
ND,2002,37.00830362170875
ND,2003,38.399471920225906
ND,2004,35.23852413278904
ND,2005,36.64981170662268
ND,2006,38.052399359701596
ND,2007,36.88461819015824
ND,2008,37.48634971610255
ND,2009,36.557916943677185
ND,2010,38.56630822404922
ND,2011,38.45011124304893
ND,2012,38.15917334460059
ND,2013,38.85454020635716
ND,2014,37.15506891781296
ND,2015,38.50057522221963
ND,2016,36.98232862996231
NE,2000,38.98753504080163
NE,2001,38.60352803922192
NE,2002,39.11351217339128
NE,2003,39.34112914746111
NE,2004,38.543698190700255
NE,2005,39.89308903773889
NE,2006,40.190934262137745
NE,2007,39.426949708648735
NE,2008,38.38551959764508
NE,2009,37.756965395940824
NE,2010,39.22788667746935
NE,2011,40.1105905930908
NE,2012,41.78068106800717
NE,2013,40.23172699484481
NE,2014,39.488005325279595
NE,2015,40.43846588839254
NE,2016,39.55322186147645
NH,2000,33.798247741952935
NH,2001,37.03017106590683
NH,2002,37.14205325838672
NH,2003,37.07718959582092
NH,2004,35.84994462129265
NH,2005,36.43527203158001
NH,2006,35.131154903243434
NH,2007,36.247958815667644
NH,2008,35.835402576959055
NH,2009,35.48096892172401
NH,2010,38.516283837475456
NH,2011,38.399847762338446
NH,2012,38.602429455503284
NH,2013,39.611714397631395
NH,2014,39.062328925415194
NH,2015,39.106032444764274
NH,2016,37.777111496294346
NJ,2000,36.146281599545226
NJ,2001,39.173515514028345
NJ,2002,39.81509519794711
NJ,2003,36.80502058763509
NJ,2004,36.13900340061992
NJ,2005,37.967938082027004
NJ,2006,37.4642665808336
NJ,2007,37.68246121803921
NJ,2008,37.296351037579115
NJ,2009,35.479083009136126
NJ,2010,40.25017773350534
NJ,2011,38.59750537833184
NJ,2012,38.448405801787445
NJ,2013,38.911804415720866
NJ,2014,38.63770289485194
NJ,2015,39.227860181805696
NJ,2016,38.77290219107576
NM,2000,46.39727826843146
NM,2001,45.86182718277051
NM,2002,46.281339884091295
NM,2003,46.966601540243886
NM,2004,45.40359532169224
NM,2005,45.62511812395016
NM,2006,46.35714327405006
NM,2007,45.579319887437656
NM,2008,45.59559788656458
NM,2009,44.78225502272662
NM,2010,45.34578414800586
NM,2011,46.991282783778836
NM,2012,47.02729828846676
NM,2013,46.20237004229911
NM,2014,45.08996877866666
NM,2015,45.63385472528247
NM,2016,46.29469708329523
NV,2000,45.25643093783175
NV,2001,45.50559177596379
NV,2002,46.25528365271336
NV,2003,45.50993247004482
NV,2004,44.89674663208297
NV,2005,44.042691757059416
NV,2006,45.64214823413491
NV,2007,45.38234280279058
NV,2008,45.59400508384199
NV,2009,45.126122526824766
NV,2010,44.69491998626881
NV,2011,45.16895598842464
NV,2012,46.42685775581477
NV,2013,45.517147500658155
NV,2014,45.38931576814027
NV,2015,45.73394358029471
NV,2016,46.18489593108664
NY,2000,35.87639440447676
NY,2001,38.85272194528047
NY,2002,39.21563097532638
NY,2003,37.54544045452119
NY,2004,35.87142769126011
NY,2005,38.18454939907318
NY,2006,36.329663638940104
NY,2007,37.73757124636434
NY,2008,37.16093460638914
NY,2009,36.24157003713355
NY,2010,39.50623035786169
NY,2011,38.2650803287837
NY,2012,38.492083375990504
NY,2013,39.236901226527145
NY,2014,38.791748669703026
NY,2015,39.20404890928131
NY,2016,39.02965939624344
OH,2000,39.05569306512261
OH,2001,40.651072120426775
OH,2002,40.73639732535103
OH,2003,39.091306995093895
OH,2004,37.553895098103666
OH,2005,40.168527327293006
OH,2006,38.7067405760249
OH,2007,40.78869748462086
OH,2008,39.43045796074536
OH,2009,37.8268300545968
OH,2010,40.773841389422564
OH,2011,39.187395556717725
OH,2012,40.49730874350584
OH,2013,38.12595308617998
OH,2014,38.3666109482688
OH,2015,39.296303539397634
OH,2016,39.47158643151869
OK,2000,42.057191832691224
OK,2001,41.9233517121892
OK,2002,40.616853671317486
OK,2003,41.97215106244644
OK,2004,39.76132945000622
OK,2005,42.66254095083401
OK,2006,44.19349994034703
OK,2007,40.21305909778997
OK,2008,41.04392764308821
OK,2009,40.562510814692324
OK,2010,41.391982964355044
OK,2011,45.141809831478675
OK,2012,43.84523729815533
OK,2013,41.4112964187296
OK,2014,40.13503401670294
OK,2015,40.272705689506594
OK,2016,40.56846224372558
OR,2000,36.35233367909347
OR,2001,36.80137896589177
OR,2002,37.85698070223659
OR,2003,38.62683822366319
OR,2004,36.584169249220565
OR,2005,36.3767677341988
OR,2006,38.56321037987874
OR,2007,36.398943866428084
OR,2008,35.96059545957394
OR,2009,36.032733252392305
OR,2010,34.88338316164831
OR,2011,35.16401051067245
OR,2012,36.983084180512364
OR,2013,35.2461916024504
OR,2014,36.16681061955092
OR,2015,37.545096063584154
OR,2016,37.14552186387711
PA,2000,37.011370217233015
PA,2001,39.82170481988761
PA,2002,40.20336538967286
PA,2003,37.67503228829615
PA,2004,36.95876012981322
PA,2005,39.321876740059565
PA,2006,37.73819660038175
PA,2007,39.21302977382519
PA,2008,38.21436283365815
PA,2009,36.778435472471315
PA,2010,40.76247512741063
PA,2011,39.17994703576571
PA,2012,39.607792969109006
PA,2013,39.72460754639825
PA,2014,39.53759712470855
PA,2015,40.03210141431775
PA,2016,39.90256336639594
RI,2000,35.65462433137984
RI,2001,38.82542600918495
RI,2002,38.84908973351324
RI,2003,38.222864988680335
RI,2004,36.85362433191973
RI,2005,36.80866541637686
RI,2006,37.017201449976056
RI,2007,37.88165437385821
RI,2008,37.748617560388475
RI,2009,37.196753694843665
RI,2010,39.883340148204304
RI,2011,39.37397921580017
RI,2012,39.43287094121464
RI,2013,40.8999922293089
RI,2014,39.620771976800015
RI,2015,40.27193230123261
RI,2016,39.31517313226403
SC,2000,43.31975180561838
SC,2001,42.82369851601536
SC,2002,41.47370291689125
SC,2003,38.712206938713884
SC,2004,39.333024489356355
SC,2005,40.279138290973975
SC,2006,41.96100546620096
SC,2007,42.96837823045771
SC,2008,41.37012278396124
SC,2009,37.29220561100579
SC,2010,41.086042640541216
SC,2011,41.526049752940665
SC,2012,38.928849694525354
SC,2013,35.85173043984694
SC,2014,37.285570641259866
SC,2015,37.87455479149404
SC,2016,39.06216288076771
SD,2000,38.1765464771795
SD,2001,40.09593710454504
SD,2002,39.58735165244499
SD,2003,40.2933027868858
SD,2004,38.20902179657638
SD,2005,39.64386328208963
SD,2006,39.926116162662915
SD,2007,39.12485898769548
SD,2008,38.723402732973234
SD,2009,37.674772876540096
SD,2010,39.526497312509335
SD,2011,40.058592210639944
SD,2012,41.28765173784004
SD,2013,40.87067834874287
SD,2014,39.09215170452759
SD,2015,39.57112929630723
SD,2016,39.07029644944253
TN,2000,43.42267719934449
TN,2001,42.474229975197986
TN,2002,41.23225809473083
TN,2003,40.35225034534364
TN,2004,39.84127113298441
TN,2005,42.13455842167087
TN,2006,42.4154770488578
TN,2007,44.224571377022016
TN,2008,41.40527666824138
TN,2009,38.46549682512412
TN,2010,42.25686183399845
TN,2011,41.88015220237057
TN,2012,41.650898304356055
TN,2013,38.83883370399879
TN,2014,39.08970377391162
TN,2015,39.06139321831518
TN,2016,40.503823382150486
TX,2000,41.357145025548334
TX,2001,40.78956846282837
TX,2002,40.7150816083461
TX,2003,41.74578911492778
TX,2004,40.01615872011681
TX,2005,42.30392574642487
TX,2006,42.579371935999056
TX,2007,39.37827568858458
TX,2008,40.51455324405025
TX,2009,39.85982052892254
TX,2010,40.26939556451983
TX,2011,42.84728524443524
TX,2012,41.902586769207005
TX,2013,40.73512090862336
TX,2014,39.119103910572676
TX,2015,39.518105478098164
TX,2016,39.50098189560741
UT,2000,46.33905495207324
