STATE,YEAR,no2
MA,2008,19.155517111340842
MA,2009,17.422557429275553
MA,2010,16.68585507219027
MA,2011,20.44494748753632
MA,2012,17.55122414734523
MA,2013,16.8999691720928
MA,2014,17.068836996969814
MA,2015,18.635098722728426
MA,2016,15.362939353040696
MD,2000,27.774418621309085
MD,2001,27.13098845278078
MD,2002,27.29563865244371
MD,2003,28.366562584441017
MD,2004,25.089376625357087
MD,2005,25.1614338733869
MD,2006,21.66559070986032
MD,2007,20.481444561710347
MD,2008,20.49225212932096
MD,2009,19.169239159839403
MD,2010,20.305524010614334
MD,2011,21.617860074568032
MD,2012,19.628682903574834
MD,2013,16.52006262683047
MD,2014,16.601737126086693
MD,2015,18.66319557022039
MD,2016,17.5370411477865
ME,2000,11.151192279472887
ME,2001,10.42387177792077
ME,2002,13.234058787946307
ME,2003,10.686945345831969
ME,2004,8.853742039107772
ME,2005,6.401125876839718
ME,2006,6.973014500970259
ME,2007,6.323339103868166
ME,2008,8.792072880297686
ME,2009,8.076638661272808
ME,2010,8.205267327281456
ME,2011,10.352424608805258
ME,2012,11.40364536519297
ME,2013,7.943894719028915
ME,2014,8.678188810078797
ME,2015,15.689351831845249
ME,2016,9.803727604641054
MI,2000,23.916800642642713
MI,2001,21.973532553232108
MI,2002,20.00227987224959
MI,2003,21.983276367462754
MI,2004,17.675493626209274
MI,2005,19.428481340381012
MI,2006,17.230801468880745
MI,2007,15.235310445073798
MI,2008,15.164017039094869
MI,2009,15.28375543542277
MI,2010,14.44397561936691
MI,2011,14.906790215285888
MI,2012,15.238835726425966
MI,2013,14.562283467152287
MI,2014,14.213599054214862
MI,2015,14.853383268056376
MI,2016,14.798096937258137
MN,2000,19.991320639035266
MN,2001,18.190836278383223
MN,2002,14.730602149746652
MN,2003,15.00037332130643
MN,2004,10.874511338717626
MN,2005,12.214111643332995
MN,2006,12.755764305586764
MN,2007,10.920138371292934
MN,2008,12.21995956990206
MN,2009,11.070230949147234
MN,2010,11.34259459491678
MN,2011,12.20268450182636
MN,2012,11.715580605559397
MN,2013,13.805123306450861
MN,2014,13.643319905594971
MN,2015,12.164051269316845
MN,2016,10.87228202808132
MO,2000,17.58505208980823
MO,2001,16.00508949827064
MO,2002,15.195878978856982
MO,2003,16.070481077238018
MO,2004,14.119016983654646
MO,2005,15.372308638714031
MO,2006,14.347534574358553
MO,2007,10.99918645790488
MO,2008,12.03277168713263
MO,2009,11.261915944476188
MO,2010,12.318297524905937
MO,2011,11.534691561520749
MO,2012,14.485504780977168
MO,2013,12.065193313913289
MO,2014,13.283976001472475
MO,2015,11.11143797498616
MO,2016,9.483214113610066
MS,2000,16.47905816972334
MS,2001,14.005928001672643
MS,2002,11.593000826293753
MS,2003,11.570890519167104
MS,2004,11.516741581508082
MS,2005,11.343886729054542
MS,2006,10.18683571934583
MS,2007,8.950465579904181
MS,2008,10.474441039832877
MS,2009,8.690899982698888
MS,2010,9.99597954573926
MS,2011,11.636853955520342
MS,2012,10.991541103501048
MS,2013,8.024133659860874
MS,2014,8.858821988054764
MS,2015,9.925001172960599
MS,2016,8.4373299294836
MT,2000,15.183870704204235
MT,2001,12.89868329458951
MT,2002,11.046780340199936
MT,2003,11.260963236673913
MT,2004,8.899934760709256
MT,2005,8.55526838127904
MT,2006,8.032851947796859
MT,2007,6.2520456573557395
MT,2008,9.038066304259967
MT,2009,7.562334747394322
MT,2010,6.318256717909703
MT,2011,6.137743881816319
MT,2012,6.85134675796108
MT,2013,5.479493136573951
MT,2014,6.553349799032599
MT,2015,7.130759236889737
MT,2016,6.138471776048828
NC,2000,22.52299211165528
NC,2001,20.2056995677634
NC,2002,18.371206282010505
NC,2003,17.81481458295163
NC,2004,17.29900084658453
NC,2005,16.0971606817752
NC,2006,14.150808815912566
NC,2007,13.572976597624141
NC,2008,13.895882689119533
NC,2009,11.839666762686226
NC,2010,12.6918680609308
NC,2011,14.41286809917193
NC,2012,13.891776039604686
NC,2013,11.855730712091113
NC,2014,10.769492697508865
NC,2015,11.361947287332953
NC,2016,10.497891262958978
ND,2000,7.639508206552053
ND,2001,8.49808868788381
ND,2002,5.8170593706570495
ND,2003,7.5597301072737535
ND,2004,6.414046515726191
ND,2005,6.649211132059151
ND,2006,9.177345411838983
ND,2007,7.012212593882891
ND,2008,8.465668637458041
ND,2009,7.695797101763171
ND,2010,7.584716642660176
ND,2011,7.120957938607982
ND,2012,7.9611359306930085
ND,2013,7.482359122882848
ND,2014,8.16528340331159
ND,2015,7.56059284436243
ND,2016,7.328794150791526
NE,2000,14.70327071967839
NE,2001,16.101733709219193
NE,2002,15.233140507422766
NE,2003,17.84131470031374
NE,2004,15.002086783703003
NE,2005,15.3344776024972
NE,2006,15.187062587620444
NE,2007,10.939882467950786
NE,2008,11.879823550174946
NE,2009,9.979167603646374
NE,2010,11.540171770158075
NE,2011,9.34597311309541
NE,2012,11.928891707544205
NE,2013,12.223070144668647
NE,2014,12.729757633254879
NE,2015,10.608172749216486
NE,2016,9.19087295049156
NH,2000,14.526093167565477
NH,2001,16.244716113889265
NH,2002,18.231887262061772
NH,2003,16.039429489515605
NH,2004,12.001954476648578
NH,2005,8.947931838943273
NH,2006,10.152287100046282
NH,2007,8.880728777002492
NH,2008,10.882267356253712
NH,2009,10.103502805300291
NH,2010,10.145665164163653
NH,2011,13.200637904551666
NH,2012,13.537905696913183
NH,2013,10.749036821337247
NH,2014,11.676719276815522
NH,2015,12.97945589425699
NH,2016,9.778413435078571
NJ,2000,34.13932062996934
NJ,2001,34.28115683197579
NJ,2002,32.03868112960736
NJ,2003,33.09509078048113
NJ,2004,30.19672403194524
NJ,2005,31.406403858329785
NJ,2006,28.964811476773622
NJ,2007,26.73598701702791
NJ,2008,25.951818113297932
NJ,2009,24.540283347446714
NJ,2010,24.30763100308041
NJ,2011,27.81583232039249
NJ,2012,23.9177495103735
NJ,2013,21.65186144012874
NJ,2014,23.004911844834577
