State,Year,Population
WV,2009,7833496
WI,2009,6562231
WY,2009,1840310
AK,2010,4757938
AZ,2010,698895
AR,2010,6343154
CA,2010,2896843
CO,2010,36961229
CT,2010,4972195
DE,2010,3561807
FL,2010,891730
GA,2010,592228
HI,2010,18652644
ID,2010,9620846
IL,2010,1346717
IN,2010,1554439
IA,2010,12796778
KS,2010,6459325
KY,2010,3032870
LA,2010,2832704
ME,2010,4317074
MD,2010,4491648
MA,2010,1329590
MI,2010,5730388
MN,2010,6517613
MS,2010,9901591
MO,2010,5281203
MT,2010,2958774
NE,2010,5961088
NV,2010,983982
NH,2010,1812683
NJ,2010,2684665
NM,2010,1316102
NY,2010,8755602
NC,2010,2036802
ND,2010,19307066
OH,2010,9449566
OK,2010,664968
OR,2010,11528896
PA,2010,3717572
RI,2010,3808600
SC,2010,12666858
SD,2010,1053646
TN,2010,4589872
TX,2010,807067
UT,2010,6306019
VT,2010,24801761
VA,2010,2723421
WA,2010,624817
WV,2010,7925937
WI,2010,6667426
WY,2010,1847775
AK,2011,4785514
AZ,2011,713982
AR,2011,6407342
CA,2011,2921998
CO,2011,37319550
CT,2011,5047539
DE,2011,3579173
FL,2011,899647
GA,2011,605282
HI,2011,18846143
ID,2011,9712209
IL,2011,1364004
IN,2011,1570819
IA,2011,12840545
KS,2011,6490555
KY,2011,3050819
LA,2011,2858266
ME,2011,4348464
MD,2011,4544635
MA,2011,1327651
MI,2011,5788784
MN,2011,6566440
MS,2011,9877597
MO,2011,5310934
MT,2011,2970615
NE,2011,5996089
NV,2011,990730
NH,2011,1829591
NJ,2011,2702483
NM,2011,1316807
NY,2011,8799451
NC,2011,2064614
ND,2011,19399956
OH,2011,9574586
OK,2011,674752
OR,2011,11539449
PA,2011,3760014
RI,2011,3837614
SC,2011,12711406
SD,2011,1053994
TN,2011,4635846
TX,2011,816193
UT,2011,6355518
VT,2011,25241897
VA,2011,2775413
WA,2011,625886
WV,2011,8024004
WI,2011,6743009
WY,2011,1854265
AK,2012,4799642
AZ,2012,722349
AR,2012,6473416
CA,2012,2941038
CO,2012,37636311
CT,2012,5121900
DE,2012,3588632
FL,2012,907590
GA,2012,620290
HI,2012,19055607
ID,2012,9803630
IL,2012,1379562
IN,2012,1584272
IA,2012,12867783
KS,2012,6517250
KY,2012,3066772
LA,2012,2869677
ME,2012,4370817
MD,2012,4576244
MA,2012,1328473
MI,2012,5840241
MN,2012,6614218
MS,2012,9883053
MO,2012,5346620
MT,2012,2979147
NE,2012,6011182
NV,2012,997518
NH,2012,1840914
NJ,2012,2713114
NM,2012,1320444
NY,2012,8828552
NC,2012,2080707
ND,2012,19499921
OH,2012,9658913
OK,2012,685526
OR,2012,11545735
PA,2012,3788824
RI,2012,3872672
SC,2012,12747052
SD,2012,1053829
TN,2012,4672655
TX,2012,823740
UT,2012,6400298
VT,2012,25645504
VA,2012,2814797
WA,2012,627197
WV,2012,8102437
WI,2012,6827479
WY,2012,1856606
AK,2013,4816632
AZ,2013,730810
AR,2013,6556344
CA,2013,2952876
CO,2013,37944551
CT,2013,5193660
DE,2013,3595211
FL,2013,915518
GA,2013,635737
HI,2013,19302016
ID,2013,9903580
IL,2013,1395199
IN,2013,1595910
IA,2013,12883029
KS,2013,6538989
KY,2013,3076844
LA,2013,2886024
ME,2013,4387865
MD,2013,4602067
MA,2013,1328094
MI,2013,5888375
MN,2013,6664269
MS,2013,9898289
MO,2013,5377500
MT,2013,2984599
NE,2013,6026027
NV,2013,1004168
NH,2013,1853691
NJ,2013,2744670
NM,2013,1324677
NY,2013,8845671
NC,2013,2087715
ND,2013,19574362
OH,2013,9751810
OK,2013,702227
OR,2013,11550971
PA,2013,3819320
RI,2013,3900102
SC,2013,12769123
SD,2013,1054893
TN,2013,4719027
TX,2013,833859
UT,2013,6455752
VT,2013,26084120
VA,2013,2854146
WA,2013,626361
WV,2013,8187456
WI,2013,6898599
WY,2013,1857446
AK,2014,4831586
AZ,2014,737626
AR,2014,6634690
CA,2014,2960459
CO,2014,38253768
CT,2014,5270774
DE,2014,3595792
FL,2014,924062
GA,2014,651559
HI,2014,19551678
ID,2014,9975592
IL,2014,1408822
IN,2014,1612053
IA,2014,12895778
KS,2014,6570575
KY,2014,3093935
LA,2014,2894306
ME,2014,4406906
MD,2014,4626040
MA,2014,1328543
MI,2014,5925197
MN,2014,6715158
MS,2014,9914802
MO,2014,5414722
MT,2014,2989839
NE,2014,6042989
NV,2014,1014158
NH,2014,1865813
NJ,2014,2776956
NM,2014,1327272
NY,2014,8857821
NC,2014,2092833
ND,2014,19626488
