,State,Year,gas_data
1825,GA,2003,20.34143343042294
1826,HI,2003,0.1505676102587885
1827,ID,2003,3.745850267778371
1828,IL,2003,53.10292340496551
1829,IN,2003,29.75089389829362
1830,IA,2003,12.02326967483485
1831,KS,2003,14.80402224566703
1832,KY,2003,12.02267128427403
1833,LA,2003,69.47831245314147
1834,ME,2003,3.890267710897247
1835,MD,2003,10.79100012699761
1836,MA,2003,21.91500530395964
1837,MI,2003,49.88008448254981
1838,MN,2003,19.62205712020744
1839,MS,2003,14.36377440225824
1840,MO,2003,13.97062013865933
1841,MT,2003,3.656923291293157
1842,NE,2003,6.260477853917183
1843,NV,2003,10.10404466666806
1844,NH,2003,2.975500537852791
1845,NJ,2003,33.54516235399844
1846,NM,2003,11.70979028714252
1847,NY,2003,59.78756985300038
1848,NC,2003,11.8440016478881
