STATE,YEAR,pm25
NJ,2006,11.743707341300867
NJ,2007,12.121454265981649
NJ,2008,10.687276126800995
NJ,2009,10.687276126800995
NJ,2010,8.95106759095571
NJ,2011,9.518103210907686
NJ,2012,8.702663831341505
NJ,2013,8.885138569295588
NJ,2014,8.593780941121752
NJ,2015,8.314941112676625
NJ,2016,7.490629678944344
NM,2000,4.778529262503083
NM,2001,4.651583972847281
NM,2002,4.641829998974933
NM,2003,5.191647504016117
NM,2004,4.60809515107363
NM,2005,4.443101901008803
NM,2006,4.672960486972386
NM,2007,4.539487940867668
NM,2008,4.449265427872397
NM,2009,4.449265427872397
NM,2010,3.8321095322634444
NM,2011,4.839181944641452
NM,2012,5.187736970893889
NM,2013,4.777617759458041
NM,2014,4.1685394016302055
NM,2015,3.747127314892231
NM,2016,3.6834492209727205
NV,2000,5.776254772671005
NV,2001,6.097689520120722
NV,2002,6.655646819030275
NV,2003,5.9804573764727795
NV,2004,5.356580495241048
NV,2005,5.568311766179267
NV,2006,5.538827858624912
NV,2007,6.724249082655326
NV,2008,7.458918800527908
NV,2009,7.458918800527908
NV,2010,5.4142962368128345
NV,2011,5.5931481725237315
NV,2012,5.699425879080413
NV,2013,6.7287973905801435
NV,2014,5.59005417893351
NV,2015,5.335097209313862
NV,2016,4.6978054053967435
NY,2000,11.633355312434245
NY,2001,12.118577629733815
NY,2002,11.453975989496817
NY,2003,11.462866259806926
NY,2004,10.676556375354947
NY,2005,11.378173370906675
NY,2006,9.717581977930614
NY,2007,10.16915034652758
NY,2008,8.934482241277124
NY,2009,8.934482241277124
NY,2010,7.744353521889565
NY,2011,8.279418421426783
NY,2012,7.592668207037628
NY,2013,7.713109972667236
NY,2014,7.059627496530163
NY,2015,6.991156609834552
NY,2016,5.8106653887591335
OH,2000,15.979768498092282
OH,2001,15.792852208576694
OH,2002,15.625541289442236
OH,2003,15.061273200378059
OH,2004,14.2396411061136
OH,2005,15.123244329650678
OH,2006,12.979739888380001
OH,2007,13.983052318010273
OH,2008,11.795023242787654
OH,2009,11.795023242787654
OH,2010,12.2377924397449
OH,2011,11.345116321156631
OH,2012,10.40443333274268
OH,2013,10.070295353890229
OH,2014,10.461065528418882
OH,2015,9.747413218892733
OH,2016,8.085704497146056
OK,2000,10.444232360390517
OK,2001,10.009870625010821
OK,2002,9.618815368443023
OK,2003,10.268771316818231
OK,2004,9.586324614746289
OK,2005,10.706949693285123
OK,2006,9.060058843804905
OK,2007,10.541512413048755
OK,2008,9.853131622590613
OK,2009,9.853131622590613
OK,2010,9.88990907267095
OK,2011,9.539623875017185
OK,2012,8.889075280899181
OK,2013,8.476861166777413
OK,2014,8.303135728799292
OK,2015,7.030438257155163
OK,2016,7.32666080990532
OR,2000,5.864546245111917
OR,2001,5.203343579963778
OR,2002,5.630915871585991
OR,2003,5.730806863698325
OR,2004,5.563830431010961
OR,2005,5.411392605042516
OR,2006,5.674587856453662
OR,2007,5.112496451557839
OR,2008,5.245271866582358
OR,2009,5.245271866582358
OR,2010,4.164453147730147
OR,2011,5.509845378666235
OR,2012,5.557193888412987
OR,2013,5.814552696055757
OR,2014,5.185049657758532
OR,2015,6.285018777954325
OR,2016,4.1891235867938565
PA,2000,13.733629721250898
PA,2001,14.574737034297799
PA,2002,13.695937674025917
PA,2003,13.883831447540384
PA,2004,13.599487616554768
PA,2005,13.941612507381475
PA,2006,12.414593015030825
PA,2007,13.264753450082159
PA,2008,11.298206907028586
PA,2009,11.298206907028586
PA,2010,10.42132950534806
PA,2011,10.291945018038012
PA,2012,9.85433049467502
PA,2013,9.807577981748105
PA,2014,9.643823057257238
PA,2015,9.524660493774567
PA,2016,7.783666499704167
RI,2000,9.521401647122431
RI,2001,10.642113615712004
RI,2002,9.457801630089902
RI,2003,9.892263616102124
RI,2004,9.018736520705074
RI,2005,9.351130980802294
RI,2006,8.667043798937534
RI,2007,8.670671665809465
RI,2008,7.6880769948772025
RI,2009,7.6880769948772025
RI,2010,6.650625452769774
RI,2011,7.389085793121828
RI,2012,6.5684478373127515
RI,2013,6.781130421223506
RI,2014,5.632646096522911
RI,2015,6.81543469431729
RI,2016,5.844802684865665
SC,2000,14.324978148204215
SC,2001,12.705057297516891
SC,2002,12.27219899916934
SC,2003,11.896547353555084
SC,2004,12.852783357847006
SC,2005,12.865804047744978
SC,2006,12.304566750119427
SC,2007,12.346793022713866
SC,2008,10.830192812222137
SC,2009,10.830192812222137
SC,2010,10.31037873937622
SC,2011,10.208077719727227
SC,2012,8.860074931439684
SC,2013,8.077673728173874
SC,2014,8.453128935975002
SC,2015,7.653341101527355
SC,2016,7.988536935398538
SD,2000,7.974506683238597
SD,2001,7.7972770933353495
SD,2002,7.425428768368798
SD,2003,8.319030984745856
SD,2004,7.694214966504117
SD,2005,8.384822214232175
SD,2006,7.890077105888463
SD,2007,7.8022321832229435
SD,2008,7.158235184527654
SD,2009,7.158235184527654
SD,2010,7.265696751771853
SD,2011,6.30152560944268
SD,2012,6.36332809877186
SD,2013,6.1537451150763465
SD,2014,5.240674110155358
SD,2015,5.983466980785493
SD,2016,4.8672605374508064
TN,2000,15.599204752931847
TN,2001,14.10278576471863
TN,2002,13.76089564888991
TN,2003,13.195109060815328
TN,2004,12.698599318069101
TN,2005,14.02382077871256
TN,2006,12.898466052249189
TN,2007,13.314359682782973
TN,2008,11.241162310006713
TN,2009,11.241162310006713
TN,2010,11.146180638228675
TN,2011,10.942173604773583
TN,2012,9.920612482544332
TN,2013,8.68466160675245
TN,2014,8.891852333878708
TN,2015,8.045399859474069
TN,2016,7.781440648980025
TX,2000,10.741640385226713
TX,2001,10.050995657608972
TX,2002,10.42739198469214
TX,2003,11.522767827466168
TX,2004,10.974345164411503
TX,2005,11.497081306229713
TX,2006,11.015786387727964
TX,2007,10.985844260118432
TX,2008,10.57301598296427
TX,2009,10.57301598296427
TX,2010,9.724225548795241
TX,2011,9.85722392658975
TX,2012,9.74584352994076
TX,2013,9.176125668903836
TX,2014,8.93647084556374
TX,2015,8.459829086606225
TX,2016,7.853966888391743
UT,2000,6.192161175199042
UT,2001,6.7517740620766835
UT,2002,7.01693308346161
UT,2003,5.761333870544744
UT,2004,7.199250717941363
UT,2005,6.118642694057152
UT,2006,5.976267161589681
UT,2007,6.7476350577642785
UT,2008,6.053272788404769
UT,2009,6.053272788404769
UT,2010,5.910497787206379
UT,2011,5.503933007773403
UT,2012,5.826579518901995
UT,2013,6.94198819394354
UT,2014,5.060882514958365
UT,2015,4.887342478939791
UT,2016,5.0694550797304565
VA,2000,13.831117812085129
VA,2001,13.486251894981082
VA,2002,12.901013372117491
VA,2003,12.758599479638393
VA,2004,12.946720928938387
VA,2005,13.038851222484695
VA,2006,12.173908168086584
VA,2007,12.20087153799484
VA,2008,10.407139315608365
VA,2009,10.407139315608365
VA,2010,9.708435910653938
VA,2011,9.212819626130061
VA,2012,8.530516382128923
VA,2013,7.82289060499006
VA,2014,8.00493617909172
VA,2015,7.971248859629276
VA,2016,6.938423043970437
VT,2000,6.8692551071741015
VT,2001,7.738409633221335
VT,2002,8.375686604474065
VT,2003,7.218817703049752
VT,2004,6.7635525004690065
VT,2005,7.8300909788328745
VT,2006,6.970238892684714
VT,2007,7.527261300366536
VT,2008,6.64383356746197
VT,2009,6.64383356746197
VT,2010,5.8554438312492
VT,2011,6.152701235070211
VT,2012,5.52398265838638
VT,2013,5.702666957739633
VT,2014,5.127872426283599
VT,2015,4.990205700240569
VT,2016,4.393468366700693
WA,2000,8.19588698940336
WA,2001,6.815826676343031
WA,2002,6.845565720503619
WA,2003,6.677047839058124
WA,2004,6.513883868488533
WA,2005,5.692990060824469
WA,2006,6.260040877010054
WA,2007,5.799882263567344
WA,2008,5.71259656305314
WA,2009,5.71259656305314
WA,2010,4.734754268463402
WA,2011,5.471629732984307
WA,2012,5.432914799066877
WA,2013,5.5902239873965005
WA,2014,5.581408617507853
WA,2015,6.258161587769108
WA,2016,4.572633413563949
WI,2000,10.523014294707211
WI,2001,10.917800492382995
WI,2002,10.706757576888048
WI,2003,10.28029516948719
WI,2004,9.787103864848254
WI,2005,10.642656500289643
WI,2006,10.587410768657842
WI,2007,10.977325231462993
WI,2008,10.622393856498038
WI,2009,10.622393856498038
WI,2010,8.927514596782178
WI,2011,8.706175737485587
WI,2012,7.903366445481908
WI,2013,7.607348488407406
WI,2014,7.901960877917292
WI,2015,7.632813781550543
WI,2016,6.538968086884007
WV,2000,13.687055339977073
WV,2001,13.454924797433229
WV,2002,13.40921876338021
WV,2003,12.56536631962884
WV,2004,12.383962002657187
WV,2005,12.68201475815893
WV,2006,11.592097002704664
WV,2007,13.53522032625018
WV,2008,10.044639496272747
WV,2009,10.044639496272747
WV,2010,9.639961730868846
WV,2011,8.918398798654382
WV,2012,8.279640608124327
WV,2013,7.564410960606627
WV,2014,7.5921174571751955
WV,2015,7.387976841452462
WV,2016,6.45194042480713
WY,2000,4.485482708888337
WY,2001,4.448824035666919
WY,2002,4.471801342168275
WY,2003,4.723866558622216
WY,2004,4.125007230632076
WY,2005,4.013905891312191
WY,2006,4.702770910734939
WY,2007,4.530846661340454
WY,2008,4.067601043711055
WY,2009,4.067601043711055
WY,2010,3.4685436393193076
WY,2011,3.677788175681577
WY,2012,4.9179552226252365
WY,2013,3.7205035714450894
WY,2014,3.3494082941525654
WY,2015,3.616357325453855
WY,2016,3.5320692717429014
