,State,Year,Petroleum
1736,NM,2001,16.59787955319209
1737,NY,2001,115.1223772673298
1738,NC,2001,61.10295490072062
1739,ND,2001,8.857617704284037
1740,OH,2001,83.67353415881979
1741,OK,2001,39.36138330520257
1742,OR,2001,24.19636833449647
1743,PA,2001,98.1162967474406
1744,RI,2001,7.077705189290896
1745,SC,2001,33.40266798680294
1746,SD,2001,7.332069400399276
1747,TN,2001,48.07964936042313
1748,TX,2001,298.5146929402324
1749,UT,2001,17.89814018260644
1750,VT,2001,6.201016406770921
1751,VA,2001,61.64114245559262
1752,WA,2001,53.27085181736705
1753,WV,2001,15.39761872259249
1754,WI,2001,39.97715153899379
1755,WY,2001,10.79220521238361
1760,AL,2002,37.52412404422206
1761,,2002,19.70236547639315
1762,AZ,2002,35.98140403282224
1763,AR,2002,23.99827327110685
1764,CA,2002,256.7531733281754
1765,CO,2002,30.16431519279207
1766,CT,2002,27.21040466619622
1767,DE,2002,9.207286452890646
1768,DC,2002,2.389334870096729
1769,FL,2002,135.1185436180999
1770,GA,2002,69.13109377011781
1771,,2002,18.70039053643192
1772,ID,2002,10.22821869756804
1773,IL,2002,77.74324288807927
1774,IN,2002,58.50423198066288
1775,IA,2002,24.93787372382748
1776,KS,2002,22.97658995642884
1777,KY,2002,48.45324843950579
1778,LA,2002,106.6197201169971
1779,ME,2002,16.48821420591453
1780,MD,2002,37.2911995150438
1781,MA,2002,50.40540744664705
1782,MI,2002,66.73621919566715
1783,MN,2002,43.24886765381142
1784,MS,2002,29.29743870005677
1785,MO,2002,49.29699777638673
1786,MT,2002,11.44003566540323
1787,NE,2002,15.22542849193173
1788,NV,2002,16.3805909195325
1789,NH,2002,12.50259143742059
1790,NJ,2002,78.28908271598712
1791,NM,2002,16.3966239731795
1792,NY,2002,110.6185668869941
1793,NC,2002,59.46264905761251
1794,ND,2002,8.188046370316703
1795,OH,2002,84.70030011095838
1796,OK,2002,37.01321388427476
1797,OR,2002,24.69594590857913
1798,PA,2002,97.10844080788372
1799,RI,2002,6.956953305102588
1800,SC,2002,33.40843638285683
1801,SD,2002,7.787786776109487
1802,TN,2002,50.19889985158616
1803,TX,2002,300.2037547751701
1804,UT,2002,18.18757807348328
1805,VT,2002,5.920322073798795
1806,VA,2002,59.51223161166847
1807,WA,2002,51.12193728458649
1808,WV,2002,15.92909373264769
1809,WI,2002,39.99623459847143
1810,WY,2002,10.63861125693473
1815,AL,2003,37.84152092334994
1816,,2003,20.43486014628687
1817,AZ,2003,37.06877848691921
1818,AR,2003,24.72304233624535
1819,CA,2003,247.1612564149024
1820,CO,2003,30.24430443121906
1821,CT,2003,30.67601560116078
1822,DE,2003,9.612871726135495
1823,DC,2003,2.150147014868558
1824,FL,2003,139.6536927778561
1825,GA,2003,71.89037199518357
1826,,2003,19.63044304577941
1827,ID,2003,9.784671185544227
1828,IL,2003,81.97445392264974
1829,IN,2003,61.01699272113017
1830,IA,2003,24.4983299025374
1831,KS,2003,26.79339362040912
1832,KY,2003,45.70825128705881
1833,LA,2003,108.4374910219229
1834,ME,2003,19.18372794680921
1835,MD,2003,39.94945356466557
1836,MA,2003,52.46024726723562
1837,MI,2003,65.89191434372438
1838,MN,2003,44.99585052280522
1839,MS,2003,32.67421390740471
1840,MO,2003,50.70720651028712
1841,MT,2003,11.44784996207523
1842,NE,2003,15.65702269881395
1843,NV,2003,16.4252027674989
1844,NH,2003,14.07419395820859
1845,NJ,2003,79.76115563580991
1846,NM,2003,16.95403856625652
1847,NY,2003,126.0104054527733
1848,NC,2003,61.68834808040268
1849,ND,2003,8.394694118221349
1850,OH,2003,87.08165112613291
1851,OK,2003,37.52206393587183
1852,OR,2003,24.24723433292869
1853,PA,2003,99.96841802553857
1854,RI,2003,7.314562427470459
1855,SC,2003,34.86995443461088
1856,SD,2003,7.36643865181916
1857,TN,2003,52.06765839619194
1858,TX,2003,301.5601643227413
1859,UT,2003,18.76112668531842
1860,VT,2003,6.22114199001397
1861,VA,2003,65.69627804669722
1862,WA,2003,51.0397793254716
1863,WV,2003,15.01448970866364
1864,WI,2003,38.21668908745614
1865,WY,2003,11.12109375909578
1870,AL,2004,40.21277082713786
1871,,2004,23.88689606452124
1872,AZ,2004,37.77895020697162
1873,AR,2004,25.33885410054628
1874,CA,2004,257.3633438484592
1875,CO,2004,32.91523264642603
1876,CT,2004,31.74182746306574
1877,DE,2004,8.893835689559813
1878,DC,2004,2.194809190161091
1879,FL,2004,150.2663572153055
1880,GA,2004,74.33434355494633
1881,,2004,20.59348866834535
1882,ID,2004,10.42674961805714
1883,IL,2004,85.0139843927885
1884,IN,2004,59.29071044432667
1885,IA,2004,25.89275217766212
1886,KS,2004,26.19956553496976
1887,KY,2004,50.57139421379383
1888,LA,2004,111.5289924530022
1889,ME,2004,18.65643452177139
1890,MD,2004,41.51698947892611
1891,MA,2004,52.64267007543042
1892,MI,2004,65.79181874549711
1893,MN,2004,45.61256733589386
1894,MS,2004,32.85422801767787
1895,MO,2004,50.46376550480208
1896,MT,2004,12.53925677253377
1897,NE,2004,15.9567480735522
1898,NV,2004,17.85832721381055
1899,NH,2004,14.44407615510972
1900,NJ,2004,81.23940317925398
1901,NM,2004,17.40746288991379
1902,NY,2004,129.4198537938449
1903,NC,2004,63.26918594886719
1904,ND,2004,8.9484929563848
1905,OH,2004,87.9823689518106
1906,OK,2004,35.12776419027009
1907,OR,2004,24.74990794423124
1908,PA,2004,101.3295428445823
1909,RI,2004,7.03516136215447
1910,SC,2004,40.10665524463843
1911,SD,2004,7.443735875938845
1912,TN,2004,52.89826135865635
1913,TX,2004,305.3424052658085
1914,UT,2004,19.18030051542763
1915,VT,2004,6.614036462491014
1916,VA,2004,69.69395311457305
1917,WA,2004,52.73109522969709
1918,WV,2004,16.52502157214295
1919,WI,2004,39.91056830558104
1920,WY,2004,10.83329517750797
1925,AL,2005,39.73325089681147
1926,,2005,23.80456620501674
1927,AZ,2005,38.91982312874408
1928,AR,2005,25.3052811342265
1929,CA,2005,262.6405602663735
1930,CO,2005,33.48174482773942
1931,CT,2005,30.8354915718011
1932,DE,2005,9.435627263937835
1933,DC,2005,2.053814175638845
1934,FL,2005,153.1986225283257
1935,GA,2005,77.13833208465984
1936,,2005,21.30989326474473
1937,ID,2005,10.62936193615698
1938,IL,2005,92.77031748338072
1939,IN,2005,59.02213860998724
1940,IA,2005,26.36255858178188
1941,KS,2005,23.29306034313266
1942,KY,2005,49.6287457661009
1943,LA,2005,107.0933922383479
1944,ME,2005,18.97988423245929
1945,MD,2005,42.34682714097315
1946,MA,2005,52.5682837727588
1947,MI,2005,65.14120331399509
1948,MN,2005,46.03946122247559
1949,MS,2005,30.87591695302122
1950,MO,2005,50.24375588745043
1951,MT,2005,13.08871782803876
1952,NE,2005,15.64007059310912
1953,NV,2005,18.7917245180023
1954,NH,2005,13.17826346968706
1955,NJ,2005,85.58664652532406
1956,NM,2005,17.35615581836256
1957,NY,2005,128.4721971959911
1958,NC,2005,64.15435603173361
1959,ND,2005,9.042156278403205
1960,OH,2005,85.52690677220156
1961,OK,2005,37.04846860077804
1962,OR,2005,25.10273481520478
1963,PA,2005,102.1860831122093
1964,RI,2005,6.836372794900971
1965,SC,2005,38.1236353852798
1966,SD,2005,7.517068563673402
1967,TN,2005,53.05286470262322
1968,TX,2005,300.711243330216
1969,UT,2005,19.93205404727014
1970,VT,2005,6.373606386290763
1971,VA,2005,69.38939265749129
1972,WA,2005,54.13299208132906
1973,WV,2005,16.55304166698253
1974,WI,2005,39.26423377854577
1975,WY,2005,10.97354325705311
1980,AL,2006,40.29665502747441
1981,,2006,24.57572205843896
