index,state,year,pm2.5
145,FL,2008,7.742633113307329
146,FL,2009,7.742633113307329
147,FL,2010,7.901493327730414
148,FL,2011,8.746338006105882
149,FL,2012,7.085838267538152
150,FL,2013,6.199482148690313
151,FL,2014,6.5665920412671825
152,FL,2015,6.612142314513869
153,FL,2016,7.343071557421173
154,GA,2000,15.908975796385992
155,GA,2001,14.286393435252043
156,GA,2002,13.366514012215578
157,GA,2003,13.420869215444588
158,GA,2004,13.882014190210786
159,GA,2005,13.785149246996921
160,GA,2006,13.206723854966546
161,GA,2007,13.413752789023778
162,GA,2008,11.443326656923553
163,GA,2009,11.443326656923553
164,GA,2010,11.407889708778518
165,GA,2011,11.291376009649778
166,GA,2012,9.850775132728842
167,GA,2013,8.87562725341499
168,GA,2014,9.454849281926812
169,GA,2015,8.52966986883189
170,GA,2016,8.697793490211593
171,IA,2000,10.764176683557858
172,IA,2001,10.217814419787
173,IA,2002,10.503371860461167
174,IA,2003,10.860402185600257
175,IA,2004,9.804670301199936
176,IA,2005,11.213746598186107
177,IA,2006,9.35788102062387
178,IA,2007,11.164839375936172
179,IA,2008,9.838274995418843
180,IA,2009,9.838274995418843
181,IA,2010,10.249204313828086
182,IA,2011,9.449956766270686
183,IA,2012,8.673400393266137
184,IA,2013,8.71605635879855
185,IA,2014,8.449712324198508
186,IA,2015,8.027201277241446
187,IA,2016,7.0353060416636355
188,ID,2000,5.783655825167199
189,ID,2001,5.22947336913343
190,ID,2002,5.367686997168907
191,ID,2003,5.318997529672059
192,ID,2004,5.601390704063188
193,ID,2005,5.409681492170283
194,ID,2006,5.845374176313151
195,ID,2007,5.371438086383217
196,ID,2008,4.992116768180393
197,ID,2009,4.992116768180393
198,ID,2010,5.0516704399319865
199,ID,2011,5.433043183862398
200,ID,2012,7.223010437089174
201,ID,2013,5.691528929821271
202,ID,2014,4.940616743296635
203,ID,2015,6.044720576348004
204,ID,2016,4.09784058086159
205,IL,2000,14.889484789588494
206,IL,2001,14.358288714608381
207,IL,2002,13.933941725035625
208,IL,2003,13.81057223356757
209,IL,2004,12.799980373668706
210,IL,2005,14.332981628602814
211,IL,2006,12.319615198188394
212,IL,2007,13.494510541197336
213,IL,2008,11.364113942419372
214,IL,2009,11.364113942419372
215,IL,2010,11.519503733545006
216,IL,2011,10.647168556486385
217,IL,2012,9.70275947887131
218,IL,2013,9.77500573367318
219,IL,2014,10.38976447776331
220,IL,2015,9.205565830497882
221,IL,2016,7.730158532894461
222,IN,2000,15.692621436498154
223,IN,2001,15.210496293079153
224,IN,2002,15.049406102618596
225,IN,2003,14.773691419359116
226,IN,2004,13.62743814215967
227,IN,2005,15.255353429312937
228,IN,2006,12.955360599532392
229,IN,2007,14.005537230314161
230,IN,2008,11.895892390271845
231,IN,2009,11.895892390271845
232,IN,2010,12.606466786823503
233,IN,2011,11.670558310343068
234,IN,2012,10.42305292642364
235,IN,2013,10.464366201320706
236,IN,2014,10.887212223369747
237,IN,2015,9.626232291079193
238,IN,2016,7.875276824190695
239,KS,2000,10.587272005673206
240,KS,2001,9.67308376037677
241,KS,2002,9.69995860066935
242,KS,2003,10.18887030913909
243,KS,2004,9.089385099985721
244,KS,2005,10.417977827400446
245,KS,2006,8.599382520346136
246,KS,2007,10.04691042423505
247,KS,2008,8.810985937209114
248,KS,2009,8.810985937209114
249,KS,2010,8.687884269174974
250,KS,2011,8.758403226737467
251,KS,2012,8.170944561374947
252,KS,2013,8.072151270560873
253,KS,2014,8.017118350801777
254,KS,2015,7.046767610653411
