index,state,year,coal
1730,MO,2001,68.23926915666665
1731,MT,2001,17.56954184333333
1732,NE,2001,21.59026045
1733,NV,2001,17.96411646333333
1734,NH,2001,3.823778749999999
1735,NJ,2001,10.69287586612784
1736,NM,2001,28.30994661
1737,NY,2001,29.13905095576332
1738,NC,2001,72.01709295
1739,ND,2001,39.9081157590227
1740,OH,2001,129.6353341299485
1741,OK,2001,35.82429244225568
1742,OR,2001,4.132539949999999
1743,PA,2001,132.0241404834453
1744,RI,2001,0.00486013
1745,SC,2001,39.43030083666666
1746,SD,2001,4.220551206666666
1747,TN,2001,65.38760873568935
1748,TX,2001,142.1816530566666
1749,UT,2001,36.55643361668896
1750,VT,2001,0.00486013
1751,VA,2001,46.29662503031135
1752,WA,2001,9.472791716666666
1753,WV,2001,82.4284374060743
1754,WI,2001,47.03219674171685
1755,WY,2001,47.58952964333332
1760,AL,2002,80.51874263667516
1762,AZ,2002,38.78599164
1763,AR,2002,24.35210154666666
1764,CA,2002,6.601635626666665
1765,CO,2002,37.27312350666666
1766,CT,2002,3.265959253333333
1767,DE,2002,3.865843161045821
1768,DC,2002,0.009423480000000001
1769,FL,2002,68.66010330666666
1770,GA,2002,76.98019860219091
1772,ID,2002,0.9559815466666665
1773,IL,2002,93.99152294547451
1774,IN,2002,146.5935501063642
1775,IA,2002,42.05234043999999
1776,KS,2002,37.38854609513072
1777,KY,2002,90.63309378172742
1778,LA,2002,22.15947404
1779,ME,2002,0.7598019733333332
1780,MD,2002,31.05058278666666
1781,MA,2002,11.29798721333333
1782,MI,2002,70.44624930154323
1783,MN,2002,34.40782787026146
1784,MS,2002,14.7298954
1785,MO,2002,69.24593837333333
1786,MT,2002,15.87813465333333
1787,NE,2002,20.79476358666666
1788,NV,2002,15.72521236
1789,NH,2002,3.804370973333333
1790,NJ,2002,10.01071810846406
1791,NM,2002,27.12571722666667
1792,NY,2002,26.6728861788264
1793,NC,2002,73.53293566666666
1794,ND,2002,40.20685582591508
1795,OH,2002,133.1398426401914
1796,OK,2002,37.34318253513072
1797,OR,2002,3.602490759999999
1798,PA,2002,138.1972792909431
1799,RI,2002,0.007234186666666667
1800,SC,2002,38.52834450666667
1801,SD,2002,3.806099146666666
1802,TN,2002,62.47235619745102
1803,TX,2002,147.8986090266666
1804,UT,2002,35.35486899999999
1805,VT,2002,0.002379666666666666
1806,VA,2002,45.85307030245508
1807,WA,2002,9.623356306666665
1808,WV,2002,94.6267390305633
1809,WI,2002,46.90347457872551
1810,WY,2002,45.80993779999999
1815,AL,2003,83.24725797032985
1817,AZ,2003,38.84558241666667
1818,AR,2003,24.23594139999999
1819,CA,2003,6.548640413333333
1820,CO,2003,37.67842968999999
1821,CT,2003,4.003296256666666
1822,DE,2003,4.489047769123
1823,DC,2003,0.01641625333333333
1824,FL,2003,69.16157871333331
1825,GA,2003,78.23061806667033
1827,ID,2003,0.95750171
1828,IL,2003,96.3375930881698
1829,IN,2003,148.9708832876533
1830,IA,2003,42.39372349666666
1831,KS,2003,37.23543651064329
1832,KY,2003,90.06580183807135
1833,LA,2003,23.70709432666666
1834,ME,2003,0.7092060433333333
1835,MD,2003,31.45453013999999
1836,MA,2003,10.45567662333333
1837,MI,2003,71.30719233714376
1838,MN,2003,37.31300238181303
1839,MS,2003,17.10529311333333
1840,MO,2003,76.03730130333332
1841,MT,2003,18.06891361
1842,NE,2003,21.71952698666666
1843,NV,2003,17.44658212
1844,NH,2003,3.981311289999999
1845,NJ,2003,10.21809498730996
1846,NM,2003,29.22345015333333
1847,NY,2003,27.25026452689356
1848,NC,2003,73.70333677666666
1849,ND,2003,40.05438279596555
1850,OH,2003,137.7444026379831
1851,OK,2003,37.62842505321647
1852,OR,2003,4.289131366666666
1853,PA,2003,138.7639758707022
1854,RI,2003,0.009639776666666666
1855,SC,2003,40.02812469333333
1856,SD,2003,4.101346663333333
1857,TN,2003,59.25145304467895
1858,TX,2003,153.2383668566666
1859,UT,2003,36.23191586666665
1860,VT,2003,0.002386083333333333
1861,VA,2003,44.14371916631695
1862,WA,2003,11.29948900666666
1863,WV,2003,93.33250112960705
1864,WI,2003,46.60892132836285
1865,WY,2003,47.16585540333332
1870,AL,2004,81.34442027691895
1872,AZ,2004,40.64934426666665
1873,AR,2004,25.81969833666666
1874,CA,2004,6.499744643333333
1875,CO,2004,37.29584712333333
1876,CT,2004,4.207216089999999
1877,DE,2004,5.119413561696186
1878,DC,2004,0.07034313
1879,FL,2004,66.79578865666666
1880,GA,2004,79.75886273666666
1882,ID,2004,1.155738503333333
1883,IL,2004,102.0444422501036
1884,IN,2004,153.1072637624959
1885,IA,2004,42.26573901
1886,KS,2004,36.85408546128658
1887,KY,2004,91.78417274288802
1888,LA,2004,24.54480035333333
1889,ME,2004,0.6956092366666666
1890,MD,2004,31.22469284
1891,MA,2004,10.04449299333333
1892,MI,2004,73.77033918594934
1893,MN,2004,36.17252961116974
1894,MS,2004,17.68289248
1895,MO,2004,77.16466603999997
1896,MT,2004,18.70246084666666
1897,NE,2004,21.36988971333333
1898,NV,2004,18.50707213666666
1899,NH,2004,4.154561326666666
1900,NJ,2004,10.77739545064329
1901,NM,2004,29.58471438999999
1902,NY,2004,26.33863848655432
1903,NC,2004,74.76605440333334
1904,ND,2004,37.92788028543911
1905,OH,2004,132.7460281721146
1906,OK,2004,35.55260397988314
1907,OR,2004,3.483812053333333
1908,PA,2004,139.9539309303286
1909,RI,2004,0.00721468
1910,SC,2004,41.39864124
1911,SD,2004,4.15786063
1912,TN,2004,61.80205995543911
1913,TX,2004,155.3535882433333
1914,UT,2004,38.16449163999999
1915,VT,2004,0.00246818
1916,VA,2004,43.0327049489493
1917,WA,2004,10.75776320666666
1918,WV,2004,89.38490545102414
1919,WI,2004,47.65588366105288
1920,WY,2004,47.79932413666666
1925,AL,2005,84.86624830493943
1927,AZ,2005,40.95382874
1928,AR,2005,23.62608515666666
1929,CA,2005,6.398060386666667
1930,CO,2005,36.96815103666667
1931,CT,2005,4.018479666666667
1932,DE,2005,5.420191597224917
1933,DC,2005,0.08965571999999998
1934,FL,2005,64.26124404333332
1935,GA,2005,86.11406231999997
1937,ID,2005,1.06739105
1938,IL,2005,100.0140815398147
1939,IN,2005,151.4564038972967
1940,IA,2005,41.03441001
1941,KS,2005,36.31586782449096
1942,KY,2005,94.15628421164884
1943,LA,2005,24.24137888333333
1944,ME,2005,0.6715946233333332
1945,MD,2005,31.45506283333333
1946,MA,2005,11.40927212333333
1947,MI,2005,76.25627192567154
1948,MN,2005,36.22701989129719
1949,MS,2005,16.85458866666666
1950,MO,2005,79.88542393333333
1951,MT,2005,19.07525799666666
1952,NE,2005,21.85823610666667
1953,NV,2005,18.90997144666666
1954,NH,2005,4.223815053333333
1955,NJ,2005,11.9849069578243
1956,NM,2005,30.39918837999999
1957,NY,2005,24.49098920030916
1958,NC,2005,77.60322053
1959,ND,2005,41.12893858229469
1960,OH,2005,141.3407398194265
1961,OK,2005,37.98365140622741
1962,OR,2005,3.406477763333332
1963,PA,2005,141.6572903168009
1964,RI,2005,0.007256479999999999
1965,SC,2005,41.18202692999999
1966,SD,2005,3.528602879999999
1967,TN,2005,62.80774445722491
1968,TX,2005,155.5925508866667
1969,UT,2005,38.74576621666666
1970,VT,2005,0.002387
1971,VA,2005,43.64436272026077
1972,WA,2005,10.73576878
1973,WV,2005,91.59596924923548
1974,WI,2005,49.92411717694578
1975,WY,2005,46.91331963999999
1980,AL,2006,84.4602186060552
1982,AZ,2006,41.21813666666667
1983,AR,2006,24.51349512333333
1984,CA,2006,6.36321279
1985,CO,2006,37.63437139
1986,CT,2006,4.363842229999999
1987,DE,2006,5.402475632418539
1988,DC,2006,0.0
1989,FL,2006,66.42807383666666
1990,GA,2006,85.17553802999998
1992,ID,2006,0.7781684533333333
1993,IL,2006,99.66516838226056
1994,IN,2006,150.7953363290365
1995,IA,2006,41.49708761
1996,KS,2006,34.75743952874418
1997,KY,2006,97.55136404360842
1998,LA,2006,25.31161167333333
1999,ME,2006,0.6296651899999999
2000,MD,2006,30.96491148666667
2001,MA,2006,10.70501820666666
2002,MI,2006,73.68512110349198
2003,MN,2006,35.37543166289921
2004,MS,2006,18.13702187
2005,MO,2006,79.11415786999999
2006,MT,2006,18.54658938
2007,NE,2006,21.70203893
2008,NV,2006,8.035329793333332
2009,NH,2006,4.2766163
2010,NJ,2006,11.08026263666667
2011,NM,2006,30.17983235666666
2012,NY,2006,24.42089653699954
2013,NC,2006,74.22148766999999
2014,ND,2006,39.52522822077514
2015,OH,2006,138.2289194344956
2016,OK,2006,36.67908060541085
2017,OR,2006,2.565088093333333
2018,PA,2006,142.4783097141711
2019,RI,2006,0.004621759999999999
2020,SC,2006,41.22715395333334
2021,SD,2006,3.773347123333333
2022,TN,2006,64.57529337203096
2023,TX,2006,153.6403940866666
2024,UT,2006,36.52076703
2025,VT,2006,0.00259974
2026,VA,2006,41.25453120078306
2027,WA,2006,6.598436276666666
2028,WV,2006,91.4044192982522
2029,WI,2006,44.13608539497672
2030,WY,2006,46.67917939666667
2035,AL,2007,84.63388580614945
2037,AZ,2007,41.84183769333333
2038,AR,2007,26.24254860333333
2039,CA,2007,6.311612633333333
2040,CO,2007,37.08349868666667
2041,CT,2007,3.81101534
2042,DE,2007,6.090771837724373
2043,DC,2007,0.04769167333333334
2044,FL,2007,68.77530051333333
2045,GA,2007,89.18645893666665
2047,ID,2007,0.9715391399999999
2048,IL,2007,104.0338330485625
2049,IN,2007,149.403663193277
2050,IA,2007,44.34469581666666
2051,KS,2007,37.82268566614102
2052,KY,2007,97.29446347822453
2053,LA,2007,23.84034744666666
2054,ME,2007,0.6259065633333334
2055,MD,2007,31.27891026333333
2056,MA,2007,11.46728025666667
2057,MI,2007,76.32646917315589
2058,MN,2007,34.93075885508975
2059,MS,2007,17.66017238333333
2060,MO,2007,76.60778477
2061,MT,2007,19.32394130333333
2062,NE,2007,20.69250909
2063,NV,2007,7.90571881
2064,NH,2007,4.285271943333333
2065,NJ,2007,10.67034606
2066,NM,2007,28.2559761
2067,NY,2007,24.61882920965426
2068,NC,2007,78.99980901999999
2069,ND,2007,40.07870103562181
2070,OH,2007,139.4610662945746
2071,OK,2007,35.60862340894872
2072,OR,2007,4.336975206666667
2073,PA,2007,141.769481214633
2074,RI,2007,0.00370513
2075,SC,2007,42.35468541333333
2076,SD,2007,3.170340433333333
2077,TN,2007,64.14760022000642
2078,TX,2007,153.5504056533333
2079,UT,2007,37.33829179666667
2080,VT,2007,0.00313511
2081,VA,2007,43.58567817157299
2082,WA,2007,9.134978526666668
2083,WV,2007,93.69657876870053
2084,WI,2007,44.3560768373718
2085,WY,2007,47.21177691999999
2090,AL,2008,80.31347529242362
2092,AZ,2008,43.78835050333333
2093,AR,2008,26.61643435
2094,CA,2008,5.986769799999999
2095,CO,2008,36.78642806666667
2096,CT,2008,4.314550239999999
2097,DE,2008,5.811989530179497
2098,DC,2008,0.03685957
2099,FL,2008,66.15988874
2100,GA,2008,84.54975877333332
2102,ID,2008,0.8141765133333332
2103,IL,2008,105.1993230107082
2104,IN,2008,148.1620011567702
2105,IA,2008,46.27295002
2106,KS,2008,35.49646007947435
2107,KY,2008,97.73708661783617
2108,LA,2008,25.05916567
2109,ME,2008,0.5618753433333332
2110,MD,2008,29.50622748333333
2111,MA,2008,10.20465167333333
2112,MI,2008,76.20371314995285
2113,MN,2008,34.28813565351283
2114,MS,2008,16.91316077
2115,MO,2008,75.68343123
2116,MT,2008,19.40575351
2117,NE,2008,22.39818170333333
2118,NV,2008,8.457648319999999
2119,NH,2008,3.84221068
2120,NJ,2008,9.325627079999999
2121,NM,2008,27.14794162666667
2122,NY,2008,21.81702587892939
2123,NC,2008,75.84570264333331
2124,ND,2008,40.46274803422439
2125,OH,2008,137.0837238046329
2126,OK,2008,37.38604457982692
2127,OR,2008,3.952212293333333
2128,PA,2008,135.0719094761609
2129,RI,2008,0.0
2130,SC,2008,42.50648295666666
2131,SD,2008,4.111964009999999
2132,TN,2008,61.40209838439745
2133,TX,2008,153.30046325
2134,UT,2008,37.78171404333333
2135,VT,2008,0.0
2136,VA,2008,39.4874793294498
2137,WA,2008,9.029920166666665
2138,WV,2008,91.08983697021499
2139,WI,2008,45.86016857053206
2140,WY,2008,47.72055705999999
